"wealth_2016","family_income_78","mother_education","father_education","poverty_78","race","gender","afqt"
287000,22500,5,8,"no","White","Female",12
236500,22500,10,12,"no","White","Female",51
112850,22500,11,12,"no","White","Female",62
183412.5,37500,12,12,"no","White","Male",99
106478.5,17420.7361516035,9,6,"yes","White","Female",43
509000,17500,12,10,"no","White","Male",55
1024150,17420.7361516035,12,12,"yes","White","Female",88
3753020,22500,12,12,"no","White","Male",83
36067.5,37500,12,12,"no","White","Female",63
-9700,17500,12,15,"no","White","Male",84
422000,17420.7361516035,12,16,"yes","White","Male",99
615500,50000,12,18,"no","White","Female",54
4638096.5,37500,12,18,"no","White","Female",94
349400,17500,12,12,"no","White","Female",84
1776703,17420.7361516035,14,16,"yes","White","Female",60
706000,37500,16,17,"no","White","Male",96
4638096.5,22500,14,20,"no","White","Female",85
907297.5,22500,0,4,"no","White","Female",18
642683,22500,10.8690857046641,6,"no","White","Female",14
171500,22500,13,12,"no","White","Male",15
1107000,37500,12,12,"no","White","Female",60
432019,37500,12,12,"no","White","Female",17
137010,22500,12,12,"no","White","Male",35
791476,5500,10,12,"no","White","Male",38
767650,5500,10,12,"no","White","Male",45
672500,37500,12,12,"no","White","Female",42
476750,37500,12,16,"no","White","Male",78
646000,17420.7361516035,12,12,"yes","White","Female",81
144250,37500,9,10,"no","White","Female",87
983500,17420.7361516035,12,14,"yes","White","Male",89
75,17500,10.8690857046641,4,"no","Hispanic","Male",38
185894.5,17420.7361516035,12,12,"yes","White","Female",38
722000,50000,12,17,"no","White","Female",96
568150,37500,12,16,"no","White","Female",99
144050,37500,12,16,"no","White","Female",30
1148000,37500,12,12,"no","White","Male",95
0,17420.7361516035,12,17,"yes","White","Male",14
4638096.5,37500,10.8690857046641,18,"no","White","Male",99
3749941,37500,16,17,"no","White","Female",99
653500,37500,17,16,"no","White","Male",72
634350,17420.7361516035,14,16,"yes","White","Female",91
749000,37500,16,16,"no","White","Male",64
694650,17420.7361516035,14,16,"yes","White","Female",65
80000,17420.7361516035,16,16,"yes","White","Male",27
4638096.5,17420.7361516035,16,16,"yes","White","Female",60
