"uuid","ticker","CoinName","searchterm"
"a800f43d-25ae-4978-b00a-3f5afe8f70b3","DOGE","Dogecoin","Dogecoin"
"2a85ae64-fe6b-4e4f-b30b-88ec391614f0","RDD","ReddCoin","ReddCoin"
"b873bf4f-8e14-48aa-98b8-627a3f5cb732","BTX","Bitcore","Bitcore"
"b9de0180-8502-4b47-975e-6f721b286568","XMR","Monero","Monero"
"455321e2-1900-4a5c-ab3f-0f805c4adb5a","CNX","Cryptonex","Cryptonex"
"e059fbcf-8610-4e71-b613-5e085da9691d","PART","Particl","Particl"
"5bc26d29-683e-4407-9139-008365ba51c5","SC","Siacoin","Siacoin"
"77d07c45-ba27-4756-9844-f1a8a345171d","BAT","Basic Attention Token","Basic Attention Token"
"67df2374-9ca6-4e13-835f-e51bcfd43e2a","QSP","Quantstamp","Quantstamp"
"593db182-06d7-4bc0-982e-f7fdce2f4a26","ETC","Ethereum Classic","Ethereum Classic"
"9d62660c-d94b-486d-9661-7d5c2efeb679","R","Revain","Revain"
"29c4a763-9c78-4a7a-aee4-04590ac1f3f8","REQ","Request Network","Request Network"
"1db1cc51-3154-47bb-bb27-06e3aedce5f2","HSR","Hshare","Hshare"
"deffb978-6291-43ac-811a-b67a7ac76dd8","AION","Aion","Aion"
"09ae58b9-c5be-4011-b661-91730a3c426a","ETN","Electroneum","Electroneum"
"20889cbc-b30d-41bb-b6ba-ef3855206777","PAY","TenX","TenX"
"ace25f07-9288-4d9c-9a88-496be764858e","ZIL","Zilliqa","Zilliqa"
"36e6e32b-861a-4eb8-9246-c7fc6a15d222","ZEC","Zcash","Zcash"
"c031c20b-9427-43d3-8ae6-e59e2b6ffe02","KCS","KuCoin Shares","KuCoin Shares"
"dcf3b47c-20e7-47a4-ab28-1d4615460132","POWR","Power Ledger","Power Ledger"
"1699d534-e3b0-4031-a045-750814586b9d","ARDR","Ardor","Ardor"
"6c5a532c-2e57-4587-88f5-b8a9bce1967a","GBYTE","Byteball Bytes","Byteball Bytes"
"44f40c73-20c0-4c47-9f2a-0cf1a579a6ed","ETH","Ethereum","Ethereum"
"374fca11-6972-4b72-88a8-1d40d830c547","DGB","DigiByte","DigiByte"
"952f4494-d0e4-4438-8c25-441e7e8994f4","BTCP","Bitcoin Private","Bitcoin Private"
"8db1c4af-cd65-4b8b-8cfa-58fdefcb16d1","XRP","Ripple","Ripple"
"3ca813b2-9c0a-4409-ae2d-9aa673de295f","BNT","Bancor","Bancor"
"942c65f4-6531-4f41-ab81-afa76af9bad9","VERI","Veritaseum","Veritaseum"
"4f3fbd00-58ce-4c20-8f05-10704915d063","OMG","OmiseGO","OmiseGO"
"806e33f4-b6fa-47a3-895e-3fb94b99508c","QTUM","Qtum","Qtum"
"9bd894f5-0e86-4322-876b-a89eb8a6919c","MAID","MaidSafeCoin","MaidSafeCoin"
"e7c20f34-d9f3-4011-8bde-f4ae98a859cb","ZRX","0x","0x"
"12219ca9-4d93-407e-b85c-c65b85fb5fcb","RHOC","RChain","RChain"
"516d4f53-d491-46d8-a90e-cd53048dd047","QASH","QASH","QASH"
"49cb400f-bc80-40d0-aea9-6062885f6ee3","KNC","Kyber Network","Kyber Network"
"f3da0e39-3bb9-47d7-ad54-798888d8dc9e","STEEM","Steem","Steem"
"b6628e09-c898-4aa6-a25f-f45bcbe53ef2","AE","Aeternity","Aeternity"
"08219601-a2f1-49cb-9af5-03275b9ce08d","DCR","Decred","Decred"
"0ecbdff0-187e-4ff5-b092-4e45b0e3198f","VEN","VeChain","VeChain"
"3375af08-9de7-43a1-8c3d-2b8ab3b1f504","IOST","IOStoken","IOStoken"
"bb9aa69a-aa3f-4de7-8612-322972c137e8","MITH","Mithril","Mithril"
"7b7df6f0-693e-4fbd-8a64-2b514010f08b","JNT","Jibrel","Jibrel"
"9cf41fa0-6eaf-4022-ac66-c78666145614","STRAT","Stratis","Stratis"
"f5a4b9a5-20d8-45fe-9f98-29d6af42ac63","NCASH","Nucleus Vision","Nucleus Vision"
