"CASEID_1979","HHID_1979","FAMSIZE_1979","AGE_IN_DEC_79","BORN_US","MOTHER_EDUC","MOTHER_EDUC_MISSING","FATHER_EDUC","FATHER_EDUC_MISSING","RACE","SEX","URBAN_RURAL","HOME_LANGUAGE","MOTHER_OCCUPATION","FATHER_OCCUPATION","FAMILY_INCOME_78","FAMILY_INCOME_78_MISSING","POVSTATUS_78","AFQT","Y"
1,1,5,20.75,"YES",8,0,8,0,"White","FEMALE","URBAN","Yes","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",NA,NA
2,2,5,19.0833333333333,"NO",5,0,8,0,"White","FEMALE","URBAN","Yes","Missing","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",22500,0,"NOT IN POVERTY",12,287000
3,3,5,17.6666666666667,"YES",10,0,12,0,"White","FEMALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","601 TO 715: 601-715 OPERATIVES AND KINDRED",22500,0,"NOT IN POVERTY",51,236500
4,3,5,16.6666666666667,"YES",11,0,12,0,"White","FEMALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",22500,0,"NOT IN POVERTY",62,112850
5,5,4,19.5833333333333,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",90,NA
6,5,4,18.8333333333333,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED",37500,0,"NOT IN POVERTY",99,183412.5
7,7,3,14.5,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","Missing",8500,0,"NOT IN POVERTY",33,NA
8,8,3,20.5833333333333,"YES",9,0,6,0,"White","FEMALE","URBAN","Yes","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS","601 TO 715: 601-715 OPERATIVES AND KINDRED",17420.7361516035,1,"Missing",43,106478.5
9,9,6,15.5833333333333,"YES",12,0,10,0,"White","MALE","URBAN","No (or Missing)","901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","601 TO 715: 601-715 OPERATIVES AND KINDRED",17500,0,"NOT IN POVERTY",55,509000
10,10,3,18.8333333333333,"YES",12,0,12,0,"White","FEMALE","URBAN","No (or Missing)","Missing","Missing",3500,0,"IN POVERTY",27,NA
11,11,3,19.5833333333333,"YES",12,0,12,0,"White","MALE","URBAN","No (or Missing)","301 TO 395: 301-395 CLERICAL AND KINDRED","Missing",12500,0,"NOT IN POVERTY",71,NA
12,12,3,19.75,"YES",15,0,12,0,"White","FEMALE","URBAN","No (or Missing)","1 TO 195: 001-195 PROFESSIONAL,TECHNICAL AND KINDRED","201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS",37500,0,"NOT IN POVERTY",94,NA
