"id","game.code","game.date","game.time","team1","team2","dateGame"
"game_0021900960","20200310/BOSIND","10/3/20","7:00 pm ET","BOS","IND","2020-03-10"
"game_0021900961","20200310/NYKWAS","10/3/20","7:00 pm ET","NYK","WAS","2020-03-10"
"game_0021900962","20200310/CLECHI","10/3/20","8:00 pm ET","CLE","CHI","2020-03-10"
"game_0021900963","20200310/MINHOU","10/3/20","8:00 pm ET","MIN","HOU","2020-03-10"
"game_0021900964","20200310/ORLMEM","10/3/20","8:00 pm ET","ORL","MEM","2020-03-10"
"game_0021900965","20200310/DALSAS","10/3/20","8:00 pm ET","DAL","SAS","2020-03-10"
"game_0021900966","20200310/PHXPOR","10/3/20","10:00 pm ET","PHX","POR","2020-03-10"
"game_0021900967","20200310/LACGSW","10/3/20","10:30 pm ET","LAC","GSW","2020-03-10"
"game_0021900968","20200310/BKNLAL","10/3/20","10:30 pm ET","BKN","LAL","2020-03-10"
"game_0021900969","20200311/NYKATL","11/3/20","7:30 pm ET","NYK","ATL","2020-03-11"
"game_0021900970","20200311/CHAMIA","11/3/20","7:30 pm ET","CHA","MIA","2020-03-11"
"game_0021900971","20200311/DETPHI","11/3/20","7:30 pm ET","DET","PHI","2020-03-11"
"game_0021900972","20200311/UTAOKC","11/3/20","8:00 pm ET","UTA","OKC","2020-03-11"
"game_0021900973","20200311/DENDAL","11/3/20","8:30 pm ET","DEN","DAL","2020-03-11"
"game_0021900974","20200311/NOPSAC","11/3/20","10:00 pm ET","NOP","SAC","2020-03-11"
"game_0021900975","20200312/CHIORL","12/3/20","7:00 pm ET","CHI","ORL","2020-03-12"
"game_0021900976","20200312/BOSMIL","12/3/20","8:00 pm ET","BOS","MIL","2020-03-12"
"game_0021900977","20200312/MEMPOR","12/3/20","10:00 pm ET","MEM","POR","2020-03-12"
"game_0021900978","20200312/BKNGSW","12/3/20","10:30 pm ET","BKN","GSW","2020-03-12"
"game_0021900979","20200312/HOULAL","12/3/20","10:30 pm ET","HOU","LAL","2020-03-12"
"game_0021900980","20200313/CLECHA","13/3/20","7:00 pm ET","CLE","CHA","2020-03-13"
"game_0021900981","20200313/WASBOS","13/3/20","7:30 pm ET","WAS","BOS","2020-03-13"
"game_0021900982","20200313/NYKMIA","13/3/20","8:00 pm ET","NYK","MIA","2020-03-13"
"game_0021900983","20200313/MINOKC","13/3/20","8:00 pm ET","MIN","OKC","2020-03-13"
"game_0021900984","20200313/DENSAS","13/3/20","8:30 pm ET","DEN","SAS","2020-03-13"
"game_0021900985","20200313/NOPUTA","13/3/20","9:00 pm ET","NOP","UTA","2020-03-13"
"game_0021900986","20200313/BKNLAC","13/3/20","10:30 pm ET","BKN","LAC","2020-03-13"
"game_0021900987","20200314/PHXDAL","14/3/20","2:00 pm ET","PHX","DAL","2020-03-14"
"game_0021900988","20200314/CLEATL","14/3/20","7:30 pm ET","CLE","ATL","2020-03-14"
"game_0021900989","20200314/INDPHI","14/3/20","7:30 pm ET","IND","PHI","2020-03-14"
"game_0021900990","20200314/DETTOR","14/3/20","7:30 pm ET","DET","TOR","2020-03-14"
"game_0021900991","20200314/CHIMIA","14/3/20","8:00 pm ET","CHI","MIA","2020-03-14"
"game_0021900992","20200314/GSWMIL","14/3/20","8:30 pm ET","GSW","MIL","2020-03-14"
"game_0021900993","20200314/MINSAS","14/3/20","8:30 pm ET","MIN","SAS","2020-03-14"
"game_0021900994","20200314/MEMUTA","14/3/20","9:00 pm ET","MEM","UTA","2020-03-14"
"game_0021900995","20200314/NOPLAC","14/3/20","10:30 pm ET","NOP","LAC","2020-03-14"
"game_0021900996","20200315/HOUPOR","15/3/20","3:30 pm ET","HOU","POR","2020-03-15"
"game_0021900997","20200315/CHAORL","15/3/20","6:00 pm ET","CHA","ORL","2020-03-15"
"game_0021900998","20200315/OKCWAS","15/3/20","6:00 pm ET","OKC","WAS","2020-03-15"
"game_0021900999","20200315/BOSCHI","15/3/20","8:00 pm ET","BOS","CHI","2020-03-15"
"game_0021901000","20200315/DENLAL","15/3/20","9:00 pm ET","DEN","LAL","2020-03-15"
"game_0021901001","20200315/BKNSAC","15/3/20","9:00 pm ET","BKN","SAC","2020-03-15"
"game_0021901002","20200316/WASPHI","16/3/20","7:00 pm ET","WAS","PHI","2020-03-16"
"game_0021901003","20200316/GSWTOR","16/3/20","8:00 pm ET","GSW","TOR","2020-03-16"
"game_0021901004","20200316/MIAMIL","16/3/20","8:00 pm ET","MIA","MIL","2020-03-16"
"game_0021901005","20200316/ATLNOP","16/3/20","8:00 pm ET","ATL","NOP","2020-03-16"
"game_0021901006","20200316/MEMSAS","16/3/20","8:30 pm ET","MEM","SAS","2020-03-16"
"game_0021901007","20200316/LALUTA","16/3/20","9:00 pm ET","LAL","UTA","2020-03-16"
"game_0021901008","20200316/DALLAC","16/3/20","10:30 pm ET","DAL","LAC","2020-03-16"
"game_0021901009","20200317/ORLDET","17/3/20","7:00 pm ET","ORL","DET","2020-03-17"
"game_0021901010","20200317/CHANYK","17/3/20","7:30 pm ET","CHA","NYK","2020-03-17"
"game_0021901011","20200317/CLEHOU","17/3/20","8:00 pm ET","CLE","HOU","2020-03-17"
"game_0021901012","20200317/OKCMEM","17/3/20","8:00 pm ET","OKC","MEM","2020-03-17"
"game_0021901013","20200317/MINPOR","17/3/20","10:00 pm ET","MIN","POR","2020-03-17"
"game_0021901014","20200317/DALSAC","17/3/20","10:00 pm ET","DAL","SAC","2020-03-17"
"game_0021901015","20200318/TORPHI","18/3/20","7:00 pm ET","TOR","PHI","2020-03-18"
"game_0021901016","20200318/OKCATL","18/3/20","7:30 pm ET","OKC","ATL","2020-03-18"
"game_0021901017","20200318/NYKBOS","18/3/20","7:30 pm ET","NYK","BOS","2020-03-18"
"game_0021901018","20200318/WASBKN","18/3/20","7:30 pm ET","WAS","BKN","2020-03-18"
"game_0021901019","20200318/GSWIND","18/3/20","7:30 pm ET","GSW","IND","2020-03-18"
"game_0021901020","20200318/MIACHI","18/3/20","8:00 pm ET","MIA","CHI","2020-03-18"
"game_0021901021","20200318/SASNOP","18/3/20","8:00 pm ET","SAS","NOP","2020-03-18"
"game_0021901022","20200318/LACDEN","18/3/20","9:00 pm ET","LAC","DEN","2020-03-18"
"game_0021901023","20200318/UTALAL","18/3/20","10:00 pm ET","UTA","LAL","2020-03-18"
"game_0021901024","20200318/MINPHX","18/3/20","10:00 pm ET","MIN","PHX","2020-03-18"
"game_0021901025","20200319/PHICHA","19/3/20","7:00 pm ET","PHI","CHA","2020-03-19"
"game_0021901026","20200319/CLEORL","19/3/20","7:00 pm ET","CLE","ORL","2020-03-19"
"game_0021901027","20200319/SACHOU","19/3/20","8:00 pm ET","SAC","HOU","2020-03-19"
"game_0021901028","20200319/MEMMIL","19/3/20","8:00 pm ET","MEM","MIL","2020-03-19"
"game_0021901029","20200319/DALPOR","19/3/20","10:00 pm ET","DAL","POR","2020-03-19"
"game_0021901030","20200320/GSWDET","20/3/20","7:00 pm ET","GSW","DET","2020-03-20"
"game_0021901031","20200320/MIAIND","20/3/20","7:00 pm ET","MIA","IND","2020-03-20"
"game_0021901032","20200320/WASATL","20/3/20","7:30 pm ET","WAS","ATL","2020-03-20"
"game_0021901033","20200320/BOSTOR","20/3/20","7:30 pm ET","BOS","TOR","2020-03-20"
"game_0021901034","20200320/DENOKC","20/3/20","8:00 pm ET","DEN","OKC","2020-03-20"
