"megabadgers","managedloads","vanburenboys","deetroitcam","loselikeagirl","gameblouses"
"Trae Young","Elfrid Payton","Tomas Satoransky","Devonte' Graham","Darius Garland","Rajon Rondo"
"Khris Middleton","Gary Harris","Shai Gilgeous-Alexander","Will Barton","Zach LaVine","Donovan Mitchell"
"Gordon Hayward","Trevor Ariza","Robert Covington","Norman Powell","Taurean Prince","Bradley Beal"
"Brandon Ingram","James Johnson","Aaron Gordon","Jerami Grant","Larry Nance Jr.","T.J. Warren"
"Naz Reid","Rudy Gobert","Christian Wood","Joel Embiid","Hassan Whiteside","Kevin Love"
"De'Aaron Fox","Chris Paul","Spencer Dinwiddie","Markelle Fultz","Luka Doncic","Damian Lillard"
"Marquese Chriss","Derrick Favors","Thaddeus Young","P.J. Washington","Tim Hardaway Jr.","Andrew Wiggins"
"D'Angelo Russell","Nerlens Noel","Mitchell Robinson","Pascal Siakam","Ricky Rubio","Jayson Tatum"
"Kristaps Porzingis","Richaun Holmes","Marcus Smart","Domantas Sabonis","Damion Lee","CJ McCollum"
"Daniel Theis","Josh Hart","Danilo Gallinari","Maxi Kleber","Nikola Jokic","Marcus Morris Sr."
"Deandre Ayton","Kawhi Leonard","Jimmy Butler","Montrezl Harrell","Zion Williamson","Collin Sexton"
"Fred VanVleet","Myles Turner","Jrue Holiday","Duncan Robinson","Brandon Knight","Victor Oladipo"
"Donte DiVincenzo","OG Anunoby","Shake Milton","Giannis Antetokounmpo","Al Horford","Josh Okogie"
